method,shape,run,fitness,convergence_gen
Gene-Centric,L,1,0.5,150
Gene-Centric,L,2,0.5555555555555556,150
Gene-Centric,L,3,0.5555555555555556,150
Gene-Centric,L,4,0.5,150
Gene-Centric,L,5,0.5555555555555556,150
Gene-Centric,L,6,0.5555555555555556,150
Gene-Centric,L,7,0.5555555555555556,150
Gene-Centric,L,8,0.5,150
Gene-Centric,L,9,0.5555555555555556,150
Gene-Centric,L,10,0.5555555555555556,150
Gene-Centric,L,11,0.5,150
Gene-Centric,L,12,0.5,150
Gene-Centric,L,13,0.5555555555555556,150
Gene-Centric,L,14,0.5,150
Gene-Centric,L,15,0.625,150
Gene-Centric,L,16,0.5555555555555556,150
Gene-Centric,L,17,0.5555555555555556,150
Gene-Centric,L,18,0.5,150
Gene-Centric,L,19,0.5555555555555556,150
Gene-Centric,L,20,0.5555555555555556,150
Gene-Centric,L,21,0.625,150
Gene-Centric,L,22,0.5,150
Gene-Centric,L,23,0.5,150
Gene-Centric,L,24,0.5555555555555556,150
Gene-Centric,L,25,0.5555555555555556,150
Gene-Centric,L,26,0.5555555555555556,150
Gene-Centric,L,27,0.5555555555555556,150
Gene-Centric,L,28,0.625,150
Gene-Centric,L,29,0.5555555555555556,150
Gene-Centric,L,30,0.5555555555555556,150
Gene-Centric,T,1,0.625,150
Gene-Centric,T,2,0.625,150
Gene-Centric,T,3,0.5,150
Gene-Centric,T,4,0.625,150
Gene-Centric,T,5,0.625,150
Gene-Centric,T,6,0.625,150
Gene-Centric,T,7,0.625,150
Gene-Centric,T,8,0.7142857142857143,150
Gene-Centric,T,9,0.625,150
Gene-Centric,T,10,0.625,150
Gene-Centric,T,11,0.625,150
Gene-Centric,T,12,0.625,150
Gene-Centric,T,13,0.625,150
Gene-Centric,T,14,0.625,150
Gene-Centric,T,15,0.5555555555555556,150
Gene-Centric,T,16,0.625,150
Gene-Centric,T,17,0.5555555555555556,150
Gene-Centric,T,18,0.5555555555555556,150
Gene-Centric,T,19,0.5555555555555556,150
Gene-Centric,T,20,0.625,150
Gene-Centric,T,21,0.625,150
Gene-Centric,T,22,0.5555555555555556,150
Gene-Centric,T,23,0.5555555555555556,150
Gene-Centric,T,24,0.5555555555555556,150
Gene-Centric,T,25,0.7142857142857143,150
Gene-Centric,T,26,0.7142857142857143,150
Gene-Centric,T,27,0.5555555555555556,150
Gene-Centric,T,28,0.625,150
Gene-Centric,T,29,0.7142857142857143,150
Gene-Centric,T,30,0.625,150
Gene-Centric,Plus,1,0.5555555555555556,150
Gene-Centric,Plus,2,0.7142857142857143,150
Gene-Centric,Plus,3,0.5555555555555556,150
Gene-Centric,Plus,4,0.625,150
Gene-Centric,Plus,5,0.5,150
Gene-Centric,Plus,6,0.625,150
Gene-Centric,Plus,7,0.5555555555555556,150
Gene-Centric,Plus,8,0.5555555555555556,150
Gene-Centric,Plus,9,0.625,150
Gene-Centric,Plus,10,0.625,150
Gene-Centric,Plus,11,0.5555555555555556,150
Gene-Centric,Plus,12,0.7142857142857143,150
Gene-Centric,Plus,13,0.625,150
Gene-Centric,Plus,14,0.625,150
Gene-Centric,Plus,15,0.5555555555555556,150
Gene-Centric,Plus,16,0.5,150
Gene-Centric,Plus,17,0.625,150
Gene-Centric,Plus,18,0.5555555555555556,150
Gene-Centric,Plus,19,0.625,150
Gene-Centric,Plus,20,0.7142857142857143,150
Gene-Centric,Plus,21,0.5555555555555556,150
Gene-Centric,Plus,22,0.625,150
Gene-Centric,Plus,23,0.7142857142857143,150
Gene-Centric,Plus,24,0.625,150
Gene-Centric,Plus,25,0.625,150
Gene-Centric,Plus,26,0.5555555555555556,150
Gene-Centric,Plus,27,0.5555555555555556,150
Gene-Centric,Plus,28,0.625,150
