method,shape,n_runs,fitness_mean,fitness_std,fitness_min,fitness_max,convergence_mean,convergence_std,convergence_min,convergence_max
Gene-Centric,L,30,0.5458333333333333,0.036244412085277476,0.5,0.625,150.0,0.0,150,150
Gene-Centric,T,30,0.6142195767195767,0.05247427186487625,0.5,0.7142857142857143,150.0,0.0,150,150
Gene-Centric,Plus,30,0.608399470899471,0.060846165457652555,0.5,0.7142857142857143,150.0,0.0,150,150
Baldwin,L,30,1.0,0.0,1.0,1.0,16.3,19.110468335443798,0,84
Baldwin,T,30,1.0,0.0,1.0,1.0,8.266666666666667,9.161271139361007,0,41
Baldwin,Plus,30,1.0,0.0,1.0,1.0,0.0,0.0,0,0
Lamarckian,L,30,0.8000000000000003,2.220446049250313e-16,0.8,0.8,150.0,0.0,150,150
Lamarckian,T,30,0.6666666666666669,2.220446049250313e-16,0.6666666666666666,0.6666666666666666,150.0,0.0,150,150
Lamarckian,Plus,30,1.0,0.0,1.0,1.0,0.2,1.0770329614269007,0,6
Phenotype-First,L,30,1.0,0.0,1.0,1.0,13.7,11.947524150774223,0,52
Phenotype-First,T,30,1.0,0.0,1.0,1.0,7.7,7.014983962918234,1,25
Phenotype-First,Plus,30,1.0,0.0,1.0,1.0,0.0,0.0,0,0
